name,latitude,longitude
Empire de Chine,48.6887141,6.1824737
Fujiyama,48.6890546,6.1831929
B'Artiste,48.6885482,6.182849
KhaoThip Express,48.6885548,6.1825303
Line Sushi,48.6886024,6.182809
Azako Ramen,48.6886189,6.1824756
Pharmacie Lafayette du Marché,48.6891101,6.1838334
Octavius Burger,48.693166,6.1823421
Racine,48.6930959,6.182087
Grand Café Foy,48.6930707,6.1827061
À la Table du Bon Roi Stanislas,48.6937541,6.1809632
Les Arcades,48.6964163,6.1794594
Opéra Café,48.6944549,6.1832195
Glaces Lorraines,48.6940344,6.1832872
Suzette & Gino,48.6941488,6.1829908
Sushi Shop,48.6926317,6.1809718
La Puce à l'Oreille,48.6929684,6.1816664
Le Phénix,48.6929423,6.1815811
Les Berthom,48.6931466,6.182253
Champêtre,48.6931141,6.1821461
Café du Commerce,48.6932025,6.1826235
Pharmacie Gambetta,48.692631,6.181972
Honey,48.6907644,6.1800554
LCL,48.6940661,6.1833911
Les Portes d'Or,48.6929204,6.1815084
Transparence,48.6930075,6.1812186
Le Café des Arts,48.6937784,6.1824583
Barami,48.6984479,6.1782253
Enterprise Rent-a-Car,48.6906012,6.1750167
SIXT,48.6911842,6.1750774
"La Fabrique, scène municipale - Nancy",48.7021441,6.1871642
Act Danse,48.6840981,6.1705787
Centre Culturel Georges Pomp It Up,48.6840458,6.1720664
Kebab Cinq Étoiles,48.6840033,6.1717037
Adagio Aparthotel,48.6936616,6.1911019
Le Cœur du Grand Nancy,48.6889391,6.1755887
Trois Petits Points,48.693451,6.1894564
EV,48.6777215,6.1685207
Top Food,48.6933748,6.1914216
Kes Original Döner,48.6934387,6.1915474
Koboon,48.6932792,6.1912234
Bar La Cigale,48.6839185,6.1889562
Central Kebab,48.6838903,6.1890038
Pharmacie Saint-Pierre,48.6833721,6.1904589
Crédit Agricole,48.6846511,6.1873774
Le clou,48.6845464,6.1877866
3 Cageots,48.6888622,6.1826448
Tacos One,48.6840394,6.1857605
Résidence autonomie Robert Chevardé,48.6980503,6.1931598
La Souris Verte,48.68165,6.1931993
Les P'tits Malins,48.6986156,6.1761586
Établissement Petite Enfance Osiris,48.6888658,6.1795752
M.Houmous,48.6864568,6.1857992
Brasserie Restaurant du Parc Sainte-Marie,48.6803748,6.1720244
Points de vue,48.6954324,6.189559
Points de vue,48.6911528,6.1753267
Points de vue,48.6979177,6.1741989
Arteteca,48.6868082,6.1710531
Durex,48.6888212,6.1676105
Banque Populaire,48.6879574,6.1658329
Noviciat des Jésuites 1602,48.6860312,6.1861133
Pascal Vély,48.6782181,6.197693
Points de vue,48.6917143,6.1859466
Mairie de Quartier Saint-Pierre,48.6821586,6.1917701
L'Olry,48.6808144,6.1939696
Le Shalimar,48.6867689,6.1853033
La Belle Mira,48.6906861,6.1727086
IAE Nancy School of Management - Campus Manufacture,48.6974692,6.1716556
Chez Xuân,48.6864445,6.1843835
Le Royal Rajasthan,48.6866017,6.1842671
PIX Pub,48.6874295,6.1830492
Crêpes Street,48.6871293,6.1836392
Le Bouche à Oreilles,48.6907323,6.1809904
Le P'tit Bouche,48.6907847,6.1809519
Le San Lorenzo,48.6923409,6.1800699
Triptik,48.6923125,6.179835
Mercure Nancy Centre Place Stanislas,48.6919815,6.1803323
Massimo Caffè,48.6925813,6.1799046
Crédit Agricole,48.6928581,6.1787373
Hôtel de l'Académie,48.6925948,6.1787368
Karrément Burger,48.6927515,6.1788138
Underground Bar CLub,48.6924729,6.1787816
Sépia Café,48.692521,6.1787885
Crédit Agricole,48.692803,6.1787768
ô cozy,48.6885804,6.1818195
Gare de Nancy,48.6897855,6.1751375
Les Restaurants du Cœur,48.6797155,6.1908887
Basic-Fit,48.6811739,6.205133
Wildness,48.6810476,6.2044594
Escape Hunt,48.6808211,6.2052625
La Fabrique de Bières,48.6954582,6.1947376
Sole Mio,48.6973939,6.1956395
Chez Henri,48.6902213,6.1851452
Foodies,48.6895645,6.1854148
Home Made Burger,48.6846441,6.1790662
Tabarnak,48.6846104,6.1789071
Shakespeare,48.6846642,6.1791665
Chez Bébert,48.69063,6.1801536
Mood Café,48.6905381,6.1819922
Au Grand Sérieux,48.6897025,6.1820006
Verdure,48.6900622,6.1817369
Pharmacie Naturabio,48.6900933,6.181459
Gaspard le Montagnard,48.6970629,6.1792171
Cabinet médical,48.6972356,6.1981656
L'Escapade,48.6925506,6.1895363
Hervé Léonard,48.7011125,6.1772785
Soleil d'Ange,48.684241,6.1632003
SG,48.6772341,6.1988375
Société Générale,48.6771892,6.1988096
Pizza Olto,48.671196,6.1667495
Perroquet,48.6922261,6.1686488
Le Verre Anis,48.692333,6.1676326
Hôtel Saint-Georges,48.6922912,6.1912463
Auto-École Nancéienne,48.7026719,6.1749283
Anim & Doc,48.6989874,6.1791795
Les 7 Bourriches,48.6930015,6.1817752
Allegria,48.6928222,6.1811871
Halte-garderie René II,48.6791547,6.1922389
Crèche familiale,48.6887903,6.1793409
Giulia,48.6887924,6.1791409
L'Escapade,48.6890002,6.1883737
Complexe sportif Paul Friederich,48.6987002,6.1394978
California,48.6932735,6.1894753
Foyer-Club Maréchal Leclerc,48.6742117,6.1741296
Les P'tits Gamins,48.678273,6.1752886
Cabinet Vétérinaire Félin,48.6925325,6.1466202
Pickles,48.6901915,6.1845087
Quokka Café,48.6902504,6.184479
Les Seigneurs,48.6982594,6.1784059
Nancy Bidouille Création Construction,48.6940289,6.1997602
Salle des Fêtes de Gentilly,48.6984023,6.1395419
La Cabane d’Achille & Camille,48.6947579,6.1702414
La Cabane d’Achille & Camille,48.6902083,6.178903
Au Tiercé,48.6768921,6.1984619
Jean Jaurès,48.6824325,6.1779467
Jean Jaurès,48.682456,6.1779347
